source	rust_destination	status
src/Makefile	Cargo/build tooling	replaced
src/sparse_formats/ccsr.cxx	src/sparse_formats.rs	partial: row encoding, partition/assemble, addition; local exact tests pass
src/sparse_formats/ccsr.h	src/sparse_formats.rs	partial: row encoding, partition/assemble, addition; local exact tests pass
src/sparse_formats/coo.cxx	src/sparse_formats.rs; src/sparse_coo.rs; src/sparse_2d.rs; src/sparse_matricize.rs	partial: native default/generic/Kernel COO leaves, order-preserving 2D panels, phase/permutation-aware tensor matricization with source folded binomial ranking and defined unfolded reverse; automatic folding-route assembly/selection pending
src/sparse_formats/coo.h	src/sparse_formats.rs; src/sparse_coo.rs; src/sparse_2d.rs; src/sparse_matricize.rs	partial: native default/generic/Kernel COO leaves, order-preserving 2D panels, phase/permutation-aware tensor matricization with source folded binomial ranking and defined unfolded reverse; automatic folding-route assembly/selection pending
src/sparse_formats/csr.cxx	src/sparse_formats.rs	partial: partition/assemble, addition; local exact tests pass
src/sparse_formats/csr.h	src/sparse_formats.rs	partial: partition/assemble, addition; local exact tests pass
src/sparse_formats/Makefile	Cargo/build tooling	replaced
src/sparse_formats/sparse_matrix.cxx	src/sparse_formats.rs	replaced: assertion-only abstract methods are not executable CPU algorithms; concrete CSR/CCSR implementations ported
src/sparse_formats/sparse_matrix.h	src/sparse_formats.rs	replaced: assertion-only abstract methods are not executable CPU algorithms; concrete CSR/CCSR implementations ported
src/mapping/distribution.cxx	src/mapping.rs	ported generic layout responsibilities: ownership, phases, padding-aware local offsets/global keys and source calc_dim integer metadata walk; C++ raw snapshot serialization replaced
src/mapping/distribution.h	src/mapping.rs	replaced: owned shape/topology/map description plus explicit calc_dim metadata replace C++ ABI descriptor
src/mapping/Makefile	Cargo/build tooling	replaced
src/mapping/mapping.cxx	src/mapping.rs; src/map_tensor.rs; src/normal_mapping.rs; src/self_mapping.rs	partial: mapping chains, phase/rank, physical/virtual augmentation, tensor/symmetry assignment, repeated-index self-map/check; source self-check integrated into preflight, repeated-label candidate generation pending; deep copying uses Rust Clone
src/mapping/mapping.h	src/mapping.rs; src/map_tensor.rs; src/self_mapping.rs	partial: source map-chain and assignment responsibilities represented by concrete Rust types/functions; C++ layout/ABI not retained
src/mapping/node_aware_dist.cxx	src/node_aware.rs; src/node_reordering.rs; src/dense_execution.rs	partial: source candidate order, strict fractional-peer volume selection and generic/folded rank-reordered execution; direct sparse node-aware branch disabled upstream, see source-node-aware-boundary.md
